Time; Input; Output
28,2; 0; -0,55277396
28,26; 0; -0,53495981
28,32; 0; -0,52498467
28,38; 0; -0,54267476
28,44; 0; -0,53853269
28,5; 0; -0,54912993
28,56; 0; -0,51406805
28,62; 0; -0,54492525
28,68; 0; -0,54761232
28,74; 0; -0,52365616
28,8; 0; -0,5377076
28,86; 0; -0,51926565
28,92; 0; -0,51661368
28,98; 0; -0,52565136
29,04; 0; -0,54616343
29,1; 0; -0,52869149
29,16; 0; -0,52503277
29,22; 0; -0,51473874
29,28; 0; -0,54537262
29,34; 0; -0,53210199
29,4; 0; -0,53525171
29,46; 0; -0,5270432
29,52; 0; -0,52093324
29,58; 0; -0,52764604
29,64; 0; -0,51738492
29,7; 0; -0,52013495
29,76; 0; -0,5301039
29,82; 0; -0,51479049
29,88; 0; -0,52310046
29,94; 0; -0,52640315
30; 0,4; -0,5484834
30,06; 0,4; -0,52976245
30,12; 0,4; -0,54894833
30,18; 0,4; -0,55869668
30,24; 0,4; -0,54945681
30,3; 0,4; -0,55849228
30,36; 0,4; -0,60195115
30,42; 0,4; -0,62957097
30,48; 0,4; -0,65420463
30,54; 0,4; -0,70820774
30,6; 0,4; -0,74623226
30,66; 0,4; -0,82173766
30,72; 0,4; -0,86600116
30,78; 0,4; -0,94882673
30,84; 0,4; -1,0446178
30,9; 0,4; -1,1000762
30,96; 0,4; -1,201838
31,02; 0,4; -1,3160458
31,08; 0,4; -1,4293875
31,14; 0,4; -1,5308402
31,2; 0,4; -1,6714788
31,26; 0,4; -1,8000433
31,32; 0,4; -1,9129618
31,38; 0,4; -2,0603953
31,44; 0,4; -2,2157056
31,5; 0,4; -2,3618171
31,56; 0,4; -2,5126293
31,62; 0,4; -2,6563897
31,68; 0,4; -2,8213699
31,74; 0,4; -2,9687945
31,8; 0,4; -3,148207
31,86; 0,4; -3,3083769
31,92; 0,4; -3,470143
31,98; 0,4; -3,658418
32,04; 0,4; -3,8365367
32,1; 0,4; -3,9953817
32,16; 0,4; -4,15635
32,22; 0,4; -4,3493933
32,28; 0,4; -4,5241809
32,34; 0,4; -4,6990173
32,4; 0,4; -4,895418
32,46; 0,4; -5,0704296
32,52; 0,4; -5,2598289
32,58; 0,4; -5,4294976
32,64; 0,4; -5,6130794
32,7; 0,4; -5,8082329
32,76; 0,4; -5,9817592
32,82; 0,4; -6,1577903
32,88; 0,4; -6,326756
32,94; 0,4; -6,5226316
33; 0,4; -6,7130774
33,06; 0,4; -6,8865236
33,12; 0,4; -7,0561603
33,18; 0,4; -7,2487091
33,24; 0,4; -7,4453848
33,3; 0,4; -7,6326285
33,36; 0,4; -7,8021945
33,42; 0,4; -7,9727694
33,48; 0,4; -8,1644901
33,54; 0,4; -8,3664704
33,6; 0,4; -8,5528942
33,66; 0,4; -8,7103516
33,72; 0,4; -8,902329
33,78; 0,4; -9,0915191
33,84; 0,4; -9,264641
33,9; 0,4; -9,4447649
33,96; 0,4; -9,634984
34,02; 0,4; -9,8078764
34,08; 0,4; -9,9942814
34,14; 0,4; -10,164941
34,2; 0,4; -10,361918
34,26; 0,4; -10,512179
34,32; 0,4; -10,69661
34,38; 0,4; -10,879987
34,44; 0,4; -11,072114
34,5; 0,4; -11,254938
34,56; 0,4; -11,428956
34,62; 0,4; -11,615822
34,68; 0,4; -11,780542
34,74; 0,4; -11,976775
34,8; 0,4; -12,149108
34,86; 0,4; -12,310674
34,92; 0,4; -12,521467
34,98; 0,4; -12,68926
35,04; 0,4; -12,862519
35,1; 0,4; -13,056215
35,16; 0,4; -13,232691
35,22; 0,4; -13,405264
35,28; 0,4; -13,571825
35,34; 0,4; -13,768236
35,4; 0,4; -13,92676
35,46; 0,4; -14,12004
35,52; 0,4; -14,31624
35,58; 0,4; -14,487132
35,64; 0,4; -14,647584
35,7; 0,4; -14,820085
35,76; 0,4; -15,016907
35,82; 0,4; -15,185879
35,88; 0,4; -15,350109
35,94; 0,4; -15,539512
36; 0; -15,710242
36,06; 0; -15,896828
36,12; 0; -16,076025
36,18; 0; -16,252993
36,24; 0; -16,411232
36,3; 0; -16,572136
36,36; 0; -16,733066
36,42; 0; -16,904087
36,48; 0; -17,017708
36,54; 0; -17,137776
36,6; 0; -17,249964
36,66; 0; -17,356049
36,72; 0; -17,442933
36,78; 0; -17,515788
36,84; 0; -17,60762
36,9; 0; -17,679798
36,96; 0; -17,731107
37,02; 0; -17,77277
37,08; 0; -17,811849
37,14; 0; -17,861014
37,2; 0; -17,892699
37,26; 0; -17,902067
37,32; 0; -17,947352
37,38; 0; -17,930639
37,44; 0; -17,943845
37,5; 0; -17,956594
37,56; 0; -17,959584
37,62; 0; -17,940299
37,68; 0; -17,938434
37,74; 0; -17,933763
37,8; 0; -17,940224
37,86; 0; -17,925169
37,92; 0; -17,922807
37,98; 0; -17,89538
38,04; 0; -17,891276
38,1; 0; -17,875077
38,16; 0; -17,868785
38,22; 0; -17,847797
38,28; 0; -17,83433
38,34; 0; -17,806585
38,4; 0; -17,836578
38,46; 0; -17,78586
38,52; 0; -17,771333
38,58; 0; -17,763571
38,64; 0; -17,758146
38,7; 0; -17,749609
38,76; 0; -17,740915
38,82; 0; -17,732609
38,88; 0; -17,710698
38,94; 0; -17,741882
39; 0; -17,713049
39,06; 0; -17,715278
39,12; 0; -17,721521
39,18; 0; -17,697634
39,24; 0; -17,679998
39,3; 0; -17,67794
39,36; 0; -17,673054
39,42; 0; -17,676249
39,48; 0; -17,696195
39,54; 0; -17,669639
39,6; 0; -17,668857
39,66; 0; -17,645028
39,72; 0; -17,649454
39,78; 0; -17,653364
39,84; 0; -17,655363
39,9; 0; -17,652391
39,96; 0; -17,642322
40,02; 0; -17,640178
40,08; 0; -17,643564
40,14; 0; -17,63959
40,2; 0; -17,6246
40,26; 0; -17,636602
40,32; 0; -17,605298
40,38; 0; -17,62961
40,44; 0; -17,605966
40,5; 0; -17,602659
40,56; 0; -17,612297
40,62; 0; -17,604517
40,68; 0; -17,595174
40,74; 0; -17,58841
40,8; 0; -17,588606
40,86; 0; -17,59407
40,92; 0; -17,585325
40,98; 0; -17,563359
41,04; 0; -17,581497
41,1; 0; -17,576606
41,16; 0; -17,563311
41,22; 0; -17,561673
41,28; 0; -17,533817
41,34; 0; -17,552293
41,4; 0; -17,531356
41,46; 0; -17,546156
41,52; 0; -17,520152
41,58; 0; -17,510781
41,64; 0; -17,51632
41,7; 0; -17,530441
41,76; 0; -17,512946
41,82; 0; -17,516084
41,88; 0; -17,503561
41,94; 0; -17,484398
42; -0,4; -17,481361
42,06; -0,4; -17,472166
42,12; -0,4; -17,466216
42,18; -0,4; -17,443915
42,24; -0,4; -17,437884
42,3; -0,4; -17,41359
42,36; -0,4; -17,377778
42,42; -0,4; -17,361748
42,48; -0,4; -17,326874
42,54; -0,4; -17,278671
42,6; -0,4; -17,210255
42,66; -0,4; -17,165074
42,72; -0,4; -17,080852
