time,control,temperature
262.512,39,39.5
263.008,39,39.25
263.504,39,39.25
264,39,40.25
264.496,39,40.25
265.008,39,40
265.504,39,40
266,39,39.5
266.512,39,39.5
267.008,39,39.5
267.504,39,39.5
268,39,38.5
268.496,39,38.5
269.008,39,38
269.504,39,38
270,39,38.25
270.512,39,38.25
271.008,39,38
271.504,39,38
272,39,39.25
272.496,39,39.25
273.008,39,39.5
273.504,39,39.5
274,39,39.25
274.512,39,39.25
275.008,39,40.25
275.504,39,40.25
276,39,41.25
276.496,39,41.25
277.008,39,41
277.504,39,41
278,39,41.5
278.512,39,41.5
279.008,39,41.25
279.504,39,41.25
280,39,41
280.496,39,41
281.008,39,42
281.504,39,42
282,39,42.25
282.512,39,42.25
283.008,39,42.25
283.504,39,42.25
284,39,41.75
284.496,39,41.75
285.008,39,43
285.504,39,43
286,39,42.75
286.512,39,42.75
287.008,39,41
287.504,39,41
288,39,41.5
288.496,39,41.5
289.008,39,41.5
289.504,39,41.5
290,39,41.75
290.512,39,41.75
291.008,39,42
291.504,39,42
292,39,42.25
292.496,39,42.25
293.008,39,42.5
293.504,39,42.5
294,39,42.25
294.512,39,42.25
295.008,39,42.25
295.504,39,42.25
296,39,43
296.496,39,43
297.008,39,43
297.504,39,43
298,39,43.5
298.512,39,43.5
299.008,39,43.25
299.504,39,43.25
300,39,44
300.496,39,44
301.008,39,43.75
301.504,39,43.75
302,39,43.75
302.512,39,44.75
303.008,39,44.75
303.504,39,44.25
304,39,44.25
304.496,39,45
305.008,39,45
305.504,39,44.75
306,39,44.75
306.512,39,45.25
307.008,39,45.25
307.504,39,46
308,39,46
308.512,39,46
309.008,39,46
309.504,39,46.25
310,39,46.25
310.512,39,46.5
311.008,39,46.5
311.504,39,46.5
312,39,46.5
312.496,39,46.5
313.008,39,46.5
313.504,39,47
314,39,47
314.512,39,47.5
315.008,39,47.5
315.504,39,47.25
316,39,47.25
316.496,39,47.5
317.008,39,47.5
317.504,39,47.5
318,39,47.5
318.512,39,47.75
319.008,39,47.75
319.504,39,48.5
320,39,48.5
320.496,39,48.5
321.008,39,48.5
321.504,39,48.75
322,39,48.75
322.512,39,48.25
323.008,39,48.25
323.504,39,48.75
324,39,48.75
324.496,39,49.25
325.008,39,49.25
325.504,39,49
326,39,49
326.512,39,50
327.024,39,50
327.504,39,50
328,39,50
328.496,39,50.25
329.008,39,50.25
329.504,39,50.25
330,39,50.25
330.512,39,50.75
331.008,39,50.75
331.504,39,50.5
332,39,50.5
332.496,39,50.5
333.008,39,50.5
333.504,39,51.25
334,39,51.25
334.512,39,51.75
335.008,39,51.75
335.504,39,52
336,39,52
336.496,39,52
337.008,39,52
337.504,39,52.25
338,39,52.25
338.512,39,52.25
339.008,39,52.25
339.504,39,51.75
340,39,51.75
340.496,39,52.75
341.008,39,52.75
341.504,39,52.75
342,39,52.75
342.512,39,53
343.008,39,53
343.504,39,53.5
344,39,53.5
344.496,39,54
345.008,39,54
345.504,39,54
346,39,54
346.512,39,54.25
347.008,39,54.25
347.504,39,54.25
348.016,39,54.25
348.496,39,54
349.008,39,54
349.504,39,54.5
350,39,54.5
350.512,39,55
351.008,39,55
351.504,39,54.75
352,39,54.75
352.496,39,55.5
353.008,39,55.5
353.504,39,55.75
354,39,55.75
354.512,39,56.25
355.008,39,56.25
355.504,39,55.75
356,39,55.75
356.496,39,55.75
357.008,39,55.75
357.504,39,56.25
358,39,56.25
358.512,39,56.5
359.008,39,56.5
359.504,39,56.75
360,39,56.75
360.496,39,57
361.008,39,57
361.504,39,57.25
362,39,57.25
362.512,39,57.25
363.008,39,57.25
363.504,39,58
364,39,58
364.496,39,57.5
365.008,39,57.5
365.504,39,58.25
366,39,58.25
366.512,39,58
367.008,39,58
367.504,39,58.75
368,39,58.75
368.512,39,59
369.008,39,59
369.504,39,59
370,39,59
370.512,39,59
371.008,39,59
371.504,39,59.25
372,39,59.25
372.496,39,59.75
373.008,39,59.75
373.504,39,59.75
374,39,59.75
374.512,39,60.25
375.008,39,60.25
375.504,39,60
376,39,60
376.512,39,60.5
377.008,39,60.5
377.504,39,60.25
378,39,60.25
378.512,39,60.75
379.008,39,60.75
379.504,39,61.25
380,39,61.25
380.496,39,61.5
381.008,39,61.5
381.504,39,61
382,39,61
382.512,39,61.5
383.008,39,61.5
383.504,39,62.25
384,39,62.25
384.496,39,62
385.008,39,62
385.504,39,62.25
386,39,62.25
386.512,39,62.25
387.008,39,62.25
387.504,39,62.25
388,39,62.25
388.496,39,63
389.008,39,63
389.504,39,63.25
390,39,63.25
390.512,39,63
391.008,39,63
391.504,39,63.5
392,39,63.5
392.512,39,64
393.008,39,64
393.504,39,63.75
394,39,63.75
394.512,39,64.25
395.008,39,64.25
395.504,39,64.5
396,39,64.5
396.496,39,64.75
397.008,39,64.75
397.504,39,65
398,39,65
398.512,39,64.75
399.008,39,64.75
399.504,39,64.75
400,39,64.75
400.496,39,65
401.008,39,65
401.504,39,65.25
402,39,65.25
402.512,39,65.25
403.008,39,65.5
403.504,39,65.5
404,39,66
404.496,39,66
405.008,39,66
405.504,39,66
406,39,66.5
406.512,39,66.5
407.008,39,66.25
407.504,39,66.25
408,39,66.75
408.496,39,66.75
409.008,39,66.75
409.504,39,66.75
410,39,67
410.512,39,67
411.008,39,67.25
411.504,39,67.25
412,40,67.5
412.512,40,67.5
413.008,39,67.25
413.504,39,67.25
414,39,68
414.512,39,68
415.008,39,68
415.504,39,68
416,39,68
416.496,39,68
417.008,39,68.75
417.504,39,68.75
418,39,68.25
418.512,39,68.25
419.008,39,68.5
419.504,39,68.5
420,39,69.25
420.496,39,69.25
421.008,39,68.75
421.504,39,68.75
422,39,69.5
422.512,39,69.5
423.008,39,69.5
423.504,39,69.5
424,39,69.25
424.496,39,69.25
425.008,39,70
425.504,39,70
426,39,70.25
426.512,39,70.25
427.008,39,70.5
427.504,39,70.5
428,39,70
428.496,39,70
429.008,39,70.5
429.504,39,70.5
430,39,70.5
430.512,39,70.5
431.008,39,71
431.504,39,71
432,39,71
432.496,39,71
433.008,39,71.25
433.504,39,71.25
434,39,71.75
434.512,39,71.75
435.008,39,71.5
435.504,39,71.5
436,39,72
436.496,39,72
437.008,39,72.5
437.504,39,72.5
438,39,72.5
438.512,39,72.5
439.008,39,72.25
439.504,39,72.25
440,39,72.75
440.496,39,72.75
441.008,39,72.75
441.504,39,72.75
442,39,73
442.512,39,73
443.008,39,73.25
443.504,39,73.25
444,39,73.75
444.496,39,73.75
445.008,39,73.75
445.504,39,73.75
446,39,73.5
446.512,39,73.5
447.008,39,74
447.504,39,74
448,39,74
448.496,39,74
449.008,39,74
449.504,39,74
450,39,73.75
450.512,39,73.75
451.008,39,74.75
451.504,39,74.75
452,39,75
452.496,39,75
453.008,39,75
453.504,39,75
454,39,75.75
454.512,39,75.75
455.008,39,75.25
455.504,39,75.25
456,39,75.5
456.496,39,75.5
457.008,39,75.5
457.504,39,75.5
458,39,76
458.512,39,76
459.008,39,76.25
459.504,39,76.25
460,39,75.75
460.496,39,75.75
461.008,39,76.25
461.504,39,76.25
462,39,76
462.512,39,76
463.008,39,77
463.504,39,77
464,39,76.75
464.496,39,76.75
465.008,39,77
465.504,39,77
466,39,77.5
466.512,39,77.5
467.008,39,77.75
467.504,39,77.75
468,39,77.75
468.496,39,77.75
469.008,39,78
469.504,39,78
470,39,78
470.512,39,78
471.008,39,78.25
471.504,39,78.25
472,39,78.25
472.496,39,78.25
473.008,39,78.5
473.504,39,78.5
474,39,78.5
474.512,39,78.5
475.008,39,79
475.504,39,79
476,39,79.25
476.496,39,79.25
477.008,39,79
477.504,39,79
478,39,78.5
478.512,39,78.5
479.008,39,79.25
479.504,39,79.25
480,39,79.25
480.496,39,79.25
481.008,39,78.75
481.504,39,78.75
482,39,78.5
482.512,39,78.5
483.008,39,79.25
483.504,39,79.25
484,39,78
484.496,39,78
485.008,39,78.25
485.504,39,78.25
486,39,78.5
486.512,39,78.5
487.008,39,77.25
487.504,39,77.25
488,39,78
488.496,39,78
489.008,39,76.75
489.504,39,76.75
490,39,76
490.512,39,76
491.008,39,76
491.504,39,76.5
492,39,76.5
492.496,39,77
493.008,39,77
493.504,39,78.5
494,39,78.5
494.512,39,80.75
495.008,39,80.75
495.504,39,83.75
496,39,83.75
496.496,39,83.25
497.008,39,83.25
497.504,39,83.5
498,39,83.5
498.512,39,84.5
499.008,39,84.5
499.504,39,85
500,39,85
500.496,39,85.5
501.008,39,85.5
501.504,39,86
502,39,86
502.512,39,85.5
503.008,39,85.5
503.504,39,86
504,39,86
504.496,39,86.75
505.008,39,86.75
505.504,39,86.25
506,39,86.25
506.512,39,87
507.008,39,87
507.504,39,86.5
508,39,86.5
508.496,40,87.25
509.008,40,87.25
509.504,39,86
510,39,86
510.512,39,84.75
511.008,39,84.75
511.504,39,85.75
512,39,85.75
512.496,39,85.75
513.008,39,85.75
513.504,39,85.75
514,39,85.75
514.512,39,85
515.008,39,85
515.504,39,85.25
516,39,85.25
516.496,39,86.75
517.008,39,86.75
517.504,39,86.5
518,39,86.5
518.512,39,87.25
519.008,39,87.25
519.504,39,87
520,39,87
520.496,39,87.5
521.008,39,87.5
521.504,39,87.5
