time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
108.075,3,2,0.01,0.5,93,64,78.5,14.5,3499.13,1
108.379,3,2,0.01,0.5,93,63,78.75,14.25,3502.69,-1
108.666,3,2,0.01,0.5,93,62,79,14,3506.19,-1
108.955,3,2,0.01,0.5,93,63,79,14,3509.69,0
109.258,3,2,0.01,0.5,93,62,79.25,13.75,3516.56,0
109.609,3,2,0.01,0.5,93,61,79.5,13.5,3519.94,-1
109.898,3,2,0.01,0.5,93,62,79.5,13.5,3523.31,0
110.185,3,2,0.01,0.5,93,61,79.75,13.25,3526.63,-1
110.473,3,2,0.01,0.5,93,62,79.5,13.5,3533.31,1
110.825,3,2,0.01,0.5,93,60,80,13,3536.56,-2
111.128,3,2,0.01,0.5,93,63,79.5,13.5,3539.94,2
111.415,3,2,0.01,0.5,93,61,79.75,13.25,3543.25,-1
111.704,3,2,0.01,0.5,93,59,80.25,12.75,3546.44,-2
112.007,3,2,0.01,0.5,93,61,80.25,12.75,3552.81,0
112.359,3,2,0.01,0.5,93,61,80.25,12.75,3556,0
112.647,3,2,0.01,0.5,93,61,80.25,12.75,3559.19,0
112.951,3,2,0.01,0.5,93,60,80.5,12.5,3562.31,-1
113.254,3,2,0.01,0.5,93,60,80.75,12.25,3568.44,0
113.573,3,2,0.01,0.5,93,60,80.75,12.25,3571.5,0
113.878,3,2,0.01,0.5,93,60,80.75,12.25,3574.56,0
114.165,3,2,0.01,0.5,93,60,80.75,12.25,3577.63,0
114.453,3,2,0.01,0.5,93,60,80.75,12.25,3580.69,0
114.741,3,2,0.01,0.5,93,59,81,12,3586.69,0
115.077,3,2,0.01,0.5,93,59,81,12,3589.69,0
115.379,3,2,0.01,0.5,93,59,81,12,3592.69,0
115.668,3,2,0.01,0.5,93,60,80.75,12.25,3595.75,1
115.971,3,2,0.01,0.5,93,58,81.25,11.75,3598.69,-2
116.258,3,2,0.01,0.5,93,58,81.5,11.5,3604.56,-2
116.579,3,2,0.01,0.5,93,57,82,11,3607.31,-2
116.883,3,2,0.01,0.5,93,59,81.75,11.25,3610.13,1
117.17,3,2,0.01,0.5,93,58,81.75,11.25,3612.94,0
117.458,3,2,0.01,0.5,93,59,81.5,11.5,3615.81,1
117.745,3,2,0.01,0.5,93,59,81.75,11.25,3621.38,1
118.081,3,2,0.01,0.5,93,56,82.25,10.75,3624.06,-2
118.385,3,2,0.01,0.5,93,58,82,11,3626.81,1
118.672,3,2,0.01,0.5,93,57,82.25,10.75,3629.5,-1
118.96,3,2,0.01,0.5,93,57,82.25,10.75,3632.19,0
119.248,3,2,0.01,0.5,93,57,82.25,10.75,3637.63,-1
119.583,3,2,0.01,0.5,93,57,82.25,10.75,3640.31,0
119.888,3,2,0.01,0.5,93,55,82.75,10.25,3642.88,-2
120.19,3,2,0.01,0.5,93,55,83,10,3645.38,-1
120.479,3,2,0.01,0.5,93,57,82.75,10.25,3647.94,1
120.781,3,2,0.01,0.5,93,57,82.75,10.25,3653.06,0
121.117,3,2,0.01,0.5,93,55,83.25,9.75,3655.5,-2
121.406,3,2,0.01,0.5,93,56,83.25,9.75,3657.94,0
121.693,3,2,0.01,0.5,93,56,83.25,9.75,3660.38,0
121.982,3,2,0.01,0.5,93,57,83,10,3662.88,1
122.285,3,2,0.01,0.5,93,56,83.25,9.75,3667.75,0
122.62,3,2,0.01,0.5,93,54,83.75,9.25,3670.06,-2
